Column,Mean_Stuttgart,Std_Stuttgart,Min_Stuttgart,Max_Stuttgart,Mode_Stuttgart,Frequency_Stuttgart,Mean_Mainz,Std_Mainz,Min_Mainz,Max_Mainz,Mode_Mainz,Frequency_Mainz,variable,question,options,variable_short,summary,Mean_Diff,Std_Diff,Mode_Diff
Q12F,2.43,1.2186467905016614,1.0,5.0,2.0,31,2.43,1.2186467905016614,1.0,5.0,2.0,31,Q12F,Werbung in Sportstätten oder in Stadien,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12F,Werbung Sportstätten,0.0,0.0,0.0
Q12G,2.36,1.1271202242884295,1.0,5.0,2.0,36,2.36,1.1271202242884295,1.0,5.0,2.0,36,Q12G,Verkaufsförderung/Angebote vor Ort im Handel,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12G,Promotion im Handel,0.0,0.0,0.0
Q12H,1.57,0.7246378405796925,1.0,4.0,1.0,54,1.57,0.7246378405796925,1.0,4.0,1.0,54,Q12H,E-Mail-Werbung oder Werbung in Apps von Herstellern oder Händlern,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12H,Werbung E-Mail/App,0.0,0.0,0.0
Q12I,3.09,1.1924344845734711,1.0,5.0,4.0,32,3.09,1.1924344845734711,1.0,5.0,4.0,32,Q12I,Verkaufsförderung/Angebote in Hauswurfsendungen,"['gar nicht(1)', 'schwach(2)', 'mittel(3)', 'stark(4)', 'sehr stark(5)', 'keine Angabe(-99)']",Q12I,Werbung Hauswurfsendungen,0.0,0.0,0.0
Q13,1.32,0.466476151587624,1.0,2.0,1.0,68,1.32,0.466476151587624,1.0,2.0,1.0,68,Q13,Welchem Geschlecht ordnen Sie sich zu?,"['männlich(1)', 'weiblich(2)', 'divers(3)', 'keine Angabe(-99)']",Q13,Geschlecht,0.0,0.0,0.0
Q14,8.68,3.016222803441418,2.0,15.0,10.0,15,8.68,3.016222803441418,2.0,15.0,10.0,15,Q14,In welchem Jahr sind Sie geboren?,"['nach 2008(1)', '2008(2)', '2007(3)', '2006(4)', '2005(5)', '2004(6)', '2003(7)', '2002(8)', '2001(9)', '2000(10)', '1999(11)', '1998(12)', '1997(13)', '1996(14)', '1995(15)', 'keine Angabe(-99)']",Q14,Geburtsjahr,0.0,0.0,0.0
Q15,1.65,2.616772821625905,1.0,17.0,1.0,86,11.0,0.0,11.0,11.0,11.0,100,Q15,In welchem Bundesland wohnen Sie derzeit?,"['Baden-Württemberg(1)', 'Bayern(2)', 'Berlin(3)', 'Brandenburg(4)', 'Bremen(5)', 'Hamburg(6)', 'Hessen(7)', 'Mecklenburg-Vorpommern(8)', 'Niedersachsen(9)', 'Nordrhein-Westfalen(10)', 'Rheinland-Pfalz(11)', 'Saarland(12)', 'Sachsen(13)', 'Sachsen-Anhalt(14)', 'Schleswig-Holstein(15)', 'Thüringen(16)', 'nicht in Deutschland(17)', 'keine Angabe(-99)']",Q15,Bundesland,9.35,-2.616772821625905,10.0
Q16,2.48,1.381882773609976,1.0,9.0,3.0,49,2.48,1.381882773609976,1.0,9.0,3.0,49,Q16,Wie ist Ihre aktuelle Beschäftigungssituation?,"['Angestellte/Angestellter(1)', 'Selbständige/Selbständiger(2)', 'Studentin/Student(3)', 'Schülerin/Schüler(4)', 'Beamtin/Beamter(5)', 'Rentnerin/Rentner(6)', 'Hausfrau/Hausmann(7)', 'ohne Beschäftigung(8)', 'in Ausbildung/im Freiwilligendienst(9)', 'keine Angabe(-99)']",Q16,Beschäftigungssituation,0.0,0.0,0.0
Q17A,0.24,0.4270831300812525,0.0,1.0,0.0,76,0.24,0.4270831300812525,0.0,1.0,0.0,76,Q17A,alleinlebend,"['0', '1', 'keine Angabe(-99)']",Q17A,allein lebend,0.0,0.0,0.0
Q17B,0.01,0.0994987437106619,0.0,1.0,0.0,99,0.01,0.0994987437106619,0.0,1.0,0.0,99,Q17B,mit Kind/Kindern lebend,"['0', '1', 'keine Angabe(-99)']",Q17B,mit Kind(ern) lebend,0.0,0.0,0.0
Q17C,0.44,0.4963869458396343,0.0,1.0,0.0,56,0.44,0.4963869458396343,0.0,1.0,0.0,56,Q17C,mit Eltern/Elternteil lebend,"['0', '1', 'keine Angabe(-99)']",Q17C,mit Eltern lebend,0.0,0.0,0.0
Q17D,0.21,0.4073082370883261,0.0,1.0,0.0,79,0.21,0.4073082370883261,0.0,1.0,0.0,79,Q17D,mit Freund/in bzw. Lebenspartner/in lebend,"['0', '1', 'keine Angabe(-99)']",Q17D,mit Partner leben,0.0,0.0,0.0
Q17E,0.17,0.375632799419859,0.0,1.0,0.0,83,0.17,0.375632799419859,0.0,1.0,0.0,83,Q17E,mit sonstigen Personen lebend (bspw. studentische Wohngemeinschaft),"['0', '1', 'keine Angabe(-99)']",Q17E,mit Mitbewohnern leben,0.0,0.0,0.0
